,original_id,code_id
111,ECLI_CZ_NS_2018_8.TD.25.2018.1.xmi,111
112,ECLI_CZ_NS_2023_20.CDO.5.2023.1.xmi,112
113,238444.xmi,113
114,634923.xmi,114
115,ECLI_CZ_NS_2018_3.TZ.24.2018.1.xmi,115
116,617429.html.xmi,116
117,ECLI_CZ_NS_2023_11.TZ.30.2023.1.xmi,117
118,ECLI_CZ_NS_2006_29.ODO.1020.2004.1.xmi,118
119,ECLI_CZ_NS_2018_7.TDO.90.2018.1.xmi,119
120,ECLI_CZ_NS_2003_33.ODO.477.2003.1.xmi,120
121,ECLI_CZ_NS_2012_29.ICDO.10.2012.1.xmi,121
122,ECLI_CZ_NS_2021_27.CDO.35.2021.1.xmi,122
123,ECLI_CZ_NS_1997_2.CDON.967.97.1.xmi,123
124,645248.xmi,124
125,717297.xmi,125
126,ECLI_CZ_NS_2000_4.TZ.253.2000.1.xmi,126
127,ECLI_CZ_NS_2012_26.CDO.645.2011.1.xmi,127
128,238211.html.xmi,128
129,636715.xmi,129
130,626506.xmi,130
131,ECLI_CZ_NS_2012_3.TZ.120.2011.1.xmi,131
132,ECLI_CZ_NS_2000_31.CDO.2509.99.1.xmi,132
133,ECLI_CZ_NS_2009_20.CDO.635.2009.1.xmi,133
134,249647.xmi,134
135,717296.xmi,135
136,ECLI_CZ_NS_1997_2.CDON.774.97.1.xmi,136
137,ECLI_CZ_NS_2006_21.CDO.1403.2005.1.xmi,137
138,ECLI_CZ_NS_2006_29.ODO.975.2006.1.xmi,138
139,615250.xmi,139
140,647264.xmi,140
141,ECLI_CZ_NS_2018_28.CDO.2249.2018.1.xmi,141
142,ECLI_CZ_NS_2009_32.CDO.1601.2008.2.xmi,142
143,ECLI_CZ_NS_2006_11.TCU.77.2006.1.xmi,143
144,671529.xmi,144
145,ECLI_CZ_NS_2000_20.CDO.1050.2000.1.xmi,145
146,239215.xmi,146
147,ECLI_CZ_NS_1997_2.CDON.132.97.1.xmi,147
148,ECLI_CZ_NS_2021_25.ND.43.2021.1.xmi,148
149,ECLI_CZ_NS_2012_28.CDO.981.2011.1.xmi,149
150,658781.xmi,150
151,ECLI_CZ_NS_2012_23.CDO.574.2012.1.xmi,151
152,238283.xmi,152
153,625794.xmi,153
154,253807.xmi,154
155,242117.xmi,155
156,ECLI_CZ_NS_2021_7.TDO.869.2021.1.xmi,156
157,ECLI_CZ_NS_2018_33.CDO.348.2018.1.xmi,157
158,646421.xmi,158
159,615921.xmi,159
160,ECLI_CZ_NS_2003_25.CDO.1589.2002.1.xmi,160
161,ECLI_CZ_NS_2021_3.TZ.89.2021.3.xmi,161
162,ECLI_CZ_NS_2003_28.CDO.2335.2002.1.xmi,162
163,238661.xmi,163
164,715289.xmi,164
165,ECLI_CZ_NS_2000_5.TZ.178.2000.1.xmi,165
166,ECLI_CZ_NS_2021_25.CDO.801.2020.1.xmi,166
167,ECLI_CZ_NS_2006_7.TDO.1111.2006.1.xmi,167
168,718342.xmi,168
169,636732.xmi,169
170,624337.xmi,170
171,ECLI_CZ_NS_2018_4.TZ.13.2018.1.xmi,171
172,ECLI_CZ_NS_2012_20.CDO.554.2012.1.xmi,172
173,ECLI_CZ_NS_2020_4.TDO.989.2020.1.xmi,173
174,ECLI_CZ_NS_1997_3.CDON.113.96.1.xmi,174
175,247922.xmi,175
176,ECLI_CZ_NS_2015_7.TZ.14.2015.1.xmi,176
177,634905.xmi,177
178,609474.xmi,178
179,ECLI_CZ_NS_2009_4.TZ.52.2009.1.xmi,179
180,658177.xmi,180
181,ECLI_CZ_NS_1997_2.CDON.1393.97.1.xmi,181
182,616026.xmi,182
183,634287.xmi,183
184,ECLI_CZ_NS_2015_25.CDO.5072.2014.1.xmi,184
185,ECLI_CZ_NS_2000_28.CDO.1283.99.1.xmi,185
186,ECLI_CZ_NS_2000_7.TZ.260.2000.1.xmi,186
187,ECLI_CZ_NS_2023_33.CDO.1746.2022.3.xmi,187
188,ECLI_CZ_NS_2015_30.CDO.589.2015.1.xmi,188
189,ECLI_CZ_NS_2000_29.CDO.2390.99.1.xmi,189
190,ECLI_CZ_NS_2006_25.CDO.670.2005.1.xmi,190
191,619512.xmi,191
192,648399.html.xmi,192
193,ECLI_CZ_NS_2015_30.CDO.1930.2014.1.xmi,193
194,659056.xmi,194
195,616755.xmi,195
196,ECLI_CZ_NS_2003_4.TZ.194.2003.1.xmi,196
197,ECLI_CZ_NS_2015_26.CDO.597.2015.1.xmi,197
198,ECLI_CZ_NS_2000_20.CDO.1265.98.1.xmi,198
199,ECLI_CZ_NS_2003_4.TZ.57.2002.1.xmi,199
200,ECLI_CZ_NS_2021_33.CDO.1217.2020.1.xmi,200
201,ECLI_CZ_NS_2012_29.CDO.984.2011.1.xmi,201
202,626644.xmi,202
203,ECLI_CZ_NS_2021_25.ND.45.2021.1.xmi,203
204,244961.xmi,204
205,615422.html.xmi,205
206,ECLI_CZ_NS_2024_29.CDO.2130.2022.1.xmi,206
207,ECLI_CZ_NS_2003_7.TDO.287.2003.1.xmi,207
208,ECLI_CZ_NS_2018_21.CDO.472.2018.1.xmi,208
209,634518.xmi,209
210,ECLI_CZ_NS_1997_2.CDON.473.96.1.xmi,210
211,623716.xmi,211
212,ECLI_CZ_NS_2018_29.CDO.612.2016.1.xmi,212
213,623534.html.xmi,213
214,ECLI_CZ_NS_2023_7.TD.4.2023.1.xmi,214
215,636535.xmi,215
216,ECLI_CZ_NS_2023_28.CDO.354.2023.1.xmi,216
217,ECLI_CZ_NS_2000_33.CDO.2483.2000.1.xmi,217
218,ECLI_CZ_NS_2000_4.ND.192.2000.1.xmi,218
219,624440.xmi,219
220,ECLI_CZ_NS_2003_3.TDO.923.2003.1.xmi,220
221,710054.xmi,221
